confirmation_id,announcement_id,confirmed_at_utc,source_id,account_plan,client,region_if_known,applied_successfully,which_window_changed,evidence_quality
CONF_X_2079617200584069200,ANN_X_2079609157934886975,2026-07-21T17:19:12.695Z,SRC_X_2079617200584069200,unknown,unknown,,1,unspecified,community_report_exact_time
CONF_GH_28811,ANN_X_2066956441173323943,2026-06-17T12:00:00Z,SRC_GH_28811,active_subscription,unknown,,1,hard_instead_of_banked,community_report_date_only
CONF_GH_32421,ANN_X_2075820987833274448,2026-07-11T12:00:00Z,SRC_GH_32421,pro_20x,desktop_macos,,0,timer_changed_but_usage_not_restored,community_report_date_only
CONF_GH_33344,ANN_X_2077114635308986427,2026-07-15T12:00:00Z,SRC_GH_33344,business_workspace,desktop,,0,weekly,community_report_date_only
CONF_RD_1RJCWLI_C1,ANN_X_2028649088594436225,2026-03-03T12:00:00Z,SRC_RD_1RJCWLI_C1,plus,unknown,,1,weekly,community_report_date_only
CONF_RD_1RJCWLI_C2,ANN_X_2028649088594436225,2026-03-03T12:00:00Z,SRC_RD_1RJCWLI_C2,unknown,unknown,,1,unspecified,community_report_date_only
CONF_RD_1UUP1E3_C1,ANN_X_2076418567143408112,2026-07-12T22:00:00Z,SRC_RD_1UUP1E3_C1,unknown,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V2GQ77_C1,ANN_X_2079609157934886975,2026-07-21T18:00:00Z,SRC_RD_1V2GQ77_C1,unknown,codex_and_codex_bar,,1,weekly,community_report_sequence_only
CONF_RD_1V2GQ77_C2,ANN_X_2079609157934886975,2026-07-21T18:00:00Z,SRC_RD_1V2GQ77_C2,unknown,unknown,,1,unspecified,community_report_sequence_only
CONF_RD_1V2GQ77_C3,ANN_X_2079609157934886975,2026-07-21T18:00:00Z,SRC_RD_1V2GQ77_C3,unknown,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V43J9T_C1,ANN_X_2079609157934886975,2026-07-23T12:00:00Z,SRC_RD_1V43J9T_C1,unknown,unknown,,1,weekly_reset_date_shifted,community_report_date_only
CONF_RD_1V43J9T_C2,ANN_X_2079609157934886975,2026-07-23T12:00:00Z,SRC_RD_1V43J9T_C2,unknown,unknown,,1,hard_reset_overwrote_banked_timing,community_report_date_only
CONF_RD_1V6HE1D_C1,ANN_X_2081096447718723984,2026-07-25T20:00:00Z,SRC_RD_1V6HE1D_C1,plus_20usd,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V6HE1D_C2,ANN_X_2081096447718723984,2026-07-25T20:00:00Z,SRC_RD_1V6HE1D_C2,unknown,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V8MEYX_C1,ANN_X_2081940052154933696,2026-07-28T04:00:00Z,SRC_RD_1V8MEYX_C1,unknown,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V8MEYX_C2,ANN_X_2081940052154933696,2026-07-28T04:00:00Z,SRC_RD_1V8MEYX_C2,pro_20x,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V8M2Z0_C1,ANN_X_2081940052154933696,2026-07-28T04:00:00Z,SRC_RD_1V8M2Z0_C1,pro_100usd,unknown,,1,weekly,community_report_sequence_only
CONF_RD_1V8M2Z0_C2,ANN_X_2081940052154933696,2026-07-28T04:00:00Z,SRC_RD_1V8M2Z0_C2,unknown,unknown,,0,none_reported,community_report_sequence_only
CONF_RD_1UU2C1G_C1,ANN_X_2081940052154933696,2026-07-28T04:00:00Z,SRC_RD_1UU2C1G_C1,unknown,unknown,,1,unspecified,community_report_sequence_only
CONF_RD_1UU2C1G_C2,ANN_X_2081940052154933696,2026-07-28T04:00:00Z,SRC_RD_1UU2C1G_C2,unknown,unknown,,1,hard_reset_did_not_stack_as_banked,community_report_sequence_only
