post_id,published_at_utc,llm_decision,announcement_status,primary_action,secondary_actions,action_cluster_id,new_hard_reset_actions,new_banked_reset_actions,new_limit_change_actions,reason_type,confidence,linked_post_ids,llm_rationale,human_checks_required
1968163721034994139,2025-09-17T04:02:52.465Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2025_09_17,1,0,0,incident_compensation,high,,"Explicit completed reset compensating earlier slowdowns","Confirm product scope was GPT-5-Codex rather than every later Codex model"
1983973493864894739,2025-10-30T19:05:16.039Z,related_non_reset,not_applicable,none,,NONE_198397,0,0,0,mixed_or_unclear,high,,"Credits and plan discussion contains no reset action","Investigate why a community history associated this URL with an Oct 30 reset"
1986166501435711936,2025-11-05T20:19:29.788Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2025_11_05,1,0,0,incident_compensation,high,,"Explicit reset after resolved global outage","None"
1986863197803192782,2025-11-07T18:27:55.146Z,related_limit_change,claimed_done,extension_or_multiplier,,LIMIT_2025_11_07,0,0,1,launch_promotion,high,,"50% plan increase and model-specific higher usage; no reset","Decide whether model-specific 4X usage is one or two limit-change actions"
1992370994028388670,2025-11-22T23:13:56.096Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2025_11_22,1,0,0,incident_compensation,high,,"Explicit compensation reset for latency","None"
1995988609896513743,2025-12-02T22:49:02.931Z,accept_reset_announcement,in_progress,hard_global,,RESET_2025_12_02,1,0,0,incident_compensation,high,,"Explicit reset propagating to all users","Match the unnamed underlying incident"
2001114683047317723,2025-12-17T02:18:14.008Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2025_12_17,1,0,0,incident_compensation,high,,"Explicit completed reset and disruption apology","Match incident context"
2002137269134819610,2025-12-19T22:01:37.530Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2025_12_19,1,0,0,mixed_or_unclear,high,,"Explicit reset during usage-accounting rewrite","Decide incident compensation versus operational migration"
2004100061933064395,2025-12-25T08:01:03.800Z,accept_reset_announcement,claimed_done,hard_global,"extension_or_multiplier:2X_until_Jan_1",RESET_2025_12_25,1,0,1,milestone_celebration,high,,"Explicit hard reset plus temporary 2X holiday limits","Confirm timezone of Jan 1 expiry"
2028649088594436225,2026-03-03T01:50:07.855Z,accept_reset_announcement,promised,hard_global,,RESET_2026_03_03,1,0,0,incident_compensation,high,,"Definite team reset commitment after outage recovery","Search for application confirmation"
2029308599835738218,2026-03-04T21:30:47.588Z,accept_reset_announcement,claimed_done,targeted_or_conditional,,RESET_2026_03_04,1,0,0,incident_compensation,high,,"Explicit reset for Plus and Pro after promo misapplication","Full post is truncated"
2030474136024400173,2026-03-08T02:42:13.070Z,accept_reset_announcement,claimed_done,targeted_or_conditional,,RESET_2026_03_08,1,0,0,community_response,high,,"Explicit Plus and Pro reset while investigating reports","Reason may be mixed community response and incident precaution"
2031216405266481489,2026-03-10T03:51:43.848Z,accept_reset_announcement,promised,hard_global,,RESET_2026_03_10,1,0,0,incident_compensation,medium,2031605592352313567,"Definite reset commitment after resolution","Determine whether Mar 11 is confirmation of this action or a distinct second reset"
2031605592352313567,2026-03-11T05:38:13.280Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_03_11,1,0,0,incident_compensation,medium,2031216405266481489,"Reset button explicitly pressed","Determine whether this duplicates Mar 10 promised action"
2037346989244096581,2026-03-27T01:52:28.969Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_03_27,1,0,0,launch_promotion,high,,"Explicit reset for newly launched plugins","None"
2039248564967424483,2026-04-01T07:48:39.951Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_04_01,1,0,0,incident_compensation,high,,"Explicit precautionary reset due unexpected cap hits","Full post is truncated; inspect secondary celebratory reason"
2041655710346572085,2026-04-07T23:13:48.132Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_04_07,1,0,0,milestone_celebration,high,2042299371602264319,"Explicit 3M milestone reset; truncated text also promises another","Archive full post and separate the future Apr 9 action"
2042299371602264319,2026-04-09T17:51:28.934Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_04_09,1,0,0,launch_promotion,high,2041655710346572085,"Explicit reset accompanying $100 plan launch and prior promise","None"
2044943514832871564,2026-04-17T00:58:21.806Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_04_17,1,0,0,milestone_celebration,high,,"Explicit one-year anniversary reset","None"
2046367145588916687,2026-04-20T23:15:21.828Z,accept_reset_announcement,promised,hard_global,,RESET_2026_04_20,1,0,0,incident_compensation,high,,"Reset incoming after incident mitigation","Search for backend/application confirmation"
2048997818673537399,2026-04-28T05:28:43.167Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_04_28,1,0,0,milestone_celebration,high,,"Explicit all-paid reset celebrating a good week","Could be mixed promotion because GPT-5.5 is named"
2055707616605835333,2026-05-16T17:51:03.656Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_05_16,1,0,0,mixed_or_unclear,high,,"Explicit completed reset across paid plans","Search preceding context for reason"
2058280452851638313,2026-05-23T20:14:35.618Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_05_23,1,0,0,incident_compensation,high,,"Explicit reset after cache-hit optimization rollback","None"
2061106703446450392,2026-05-31T15:25:06.269Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_05_31,1,0,0,mixed_or_unclear,high,,"Explicit paid-plan reset to weekly and hourly limits","Search preceding 5M milestone post"
2062329981548802523,2026-06-04T00:25:58.496Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_06_04,1,0,0,incident_compensation,high,,"Explicit reset after three reliability incidents","None"
2065225362544726371,2026-06-12T00:11:11.119Z,accept_reset_announcement,in_progress,banked_credit,,BANKED_2026_06_12,0,1,0,launch_promotion,high,2065468501750649006,"Official OpenAI launch grants one free banked reset to eligible plans","Verify rollout eligibility and whether grant reached accounts"
2065468501750649006,2026-06-12T16:17:20.023Z,related_policy_signal,not_applicable,none,,BANKED_POLICY_2026_06_12,0,0,0,community_response,high,2065225362544726371,"Explains future user-controlled application but does not itself grant a new reset","Treat as policy context rather than another reset"
2066956441173323943,2026-06-16T18:49:52.426Z,accept_reset_announcement,promised,hard_global,,RESET_2026_06_18,0,0,0,incident_compensation,high,2067399435009622521,"Promises a reset within 24 hours; linked to later double-reset execution","Verify the 30-hour gap and whether another execution post exists"
2067399435009622521,2026-06-18T00:10:10.387Z,accept_reset_announcement,claimed_done,hard_global,banked_credit,RESET_2026_06_18,1,1,0,mixed_or_unclear,high,2066956441173323943,"Explicit double reset: immediate full plus banked","Confirm exact eligible scope"
2070653282440405046,2026-06-26T23:39:48.068Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_06_26,1,0,0,incident_compensation,high,,"Explicit reset while monitoring a mitigated issue","None"
2071381664853319742,2026-06-28T23:54:07.968Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_06_28,1,0,0,incident_compensation,high,,"Explicit hard reset during ongoing investigation","Full sentence is truncated despite oEmbed truncation flag ambiguity"
2071740419030053227,2026-06-29T23:39:41.629Z,accept_reset_announcement,in_progress,hard_global,banked_credit,RESET_2026_06_29,1,1,0,incident_compensation,high,,"Explicit upcoming full reset plus additional banked reset","Full root-cause list is truncated"
