candidate_id,claimed_announced_at_utc,claimed_announcer,candidate_source_id,primary_source_url,candidate_reset_type,candidate_reason_type,candidate_status,annotator_1_decision,annotator_2_decision,adjudicated_decision,notes
CAND_2026_07_10,2026-07-10T17:59:43.835Z,Tibo,SRC_X_2075641131002700120,https://x.com/thsottiaux/status/2075641131002700120,hard_global,mixed_or_unclear,needs_human_review,,,,"Original X post explicitly says limits were reset; OpenAI later reposted it."
CAND_2026_07_11,2026-07-11T05:54:25.045Z,Tibo,SRC_X_2075820987833274448,https://x.com/thsottiaux/status/2075820987833274448,hard_global,mixed_or_unclear,needs_human_review,,,,"Distinct reset announced roughly 12 hours after the prior post."
CAND_2026_07_12_HARD,2026-07-12T17:59:57.945Z,Tibo,SRC_X_2076365965915467978,https://x.com/thsottiaux/status/2076365965915467978,hard_global,milestone_celebration,needs_human_review,,,,"Composite announcement: reset plus temporary removal of the 5-hour restriction; full long-post text should be archived."
CAND_2026_07_12_BANKED,2026-07-12T21:28:59.055Z,Tibo,SRC_X_2076418567143408112,https://x.com/thsottiaux/status/2076418567143408112,banked_credit,incident_compensation,needs_human_review,,,,"Banked reset granted to 500k users after a redemption issue; targeted scope."
CAND_2026_07_13,2026-07-13T18:29:31.013Z,Tibo,SRC_X_2076735790567338203,https://x.com/thsottiaux/status/2076735790567338203,banked_credit,milestone_celebration,needs_human_review,,,,"Banked reset for all accounts tied explicitly to 7M active users."
CAND_2026_07_14,2026-07-14T19:34:54.638Z,Tibo,SRC_X_2077114635308986427,https://x.com/thsottiaux/status/2077114635308986427,hard_global,milestone_celebration,needs_human_review,,,,"Direct reset tied explicitly to 8M active users."
CAND_2026_07_16,2026-07-16T04:14:09.822Z,Tibo,SRC_X_2077607697487188198,https://x.com/thsottiaux/status/2077607697487188198,hard_global,milestone_celebration,needs_human_review,,,,"Direct reset tied explicitly to 9M active users."
CAND_2026_07_18,2026-07-18T03:28:22.589Z,Tibo,SRC_X_2078320950488297917,https://x.com/thsottiaux/status/2078320950488297917,hard_global,mixed_or_unclear,needs_human_review,,,,"Direct reset for all paid users; celebratory/weekend framing but no discrete milestone in the post."
CAND_2026_07_21,2026-07-21T16:47:15.178Z,Tibo,SRC_X_2079609157934886975,https://x.com/thsottiaux/status/2079609157934886975,hard_global,milestone_celebration,needs_human_review,,,,"Direct reset tied explicitly to 10M users; source says it lands in the next hour."
CAND_2026_07_25,2026-07-25T19:17:12.695Z,Tibo,SRC_X_2081096447718723984,https://x.com/thsottiaux/status/2081096447718723984,hard_global,incident_compensation,needs_human_review,,,,"Completed reset explicitly tied to an almost-global outage."
CAND_2026_07_28,2026-07-28T03:09:23.666Z,Tibo,SRC_X_2081940052154933696,https://x.com/thsottiaux/status/2081940052154933696,hard_global,launch_promotion,needs_human_review,,,,"Completed reset; preceding same-account post links it to fast adoption of ChatGPT Work."
