candidate_id,llm_model,annotation_version,eligibility_decision,announcement_status,primary_action,secondary_actions,reason_type,scope_class,eligible_plans,quota_windows_affected,context_source_ids,confidence,evidence_basis,uncertainties,human_checks_required
CAND_2026_07_10,Codex_GPT-5,1,accept,claimed_done,hard_global,"future_second_reset",mixed_or_unclear,global_all,unknown,unknown,,high,"Explicit 'have reset' for Codex and Work","Long post truncated; later promised reset is not this event","Open full long post; ensure later action is a distinct candidate"
CAND_2026_07_11,Codex_GPT-5,1,accept,in_progress,hard_global,,mixed_or_unclear,global_all,unknown,unknown,,high,"Explicit another reset; lands within 30 minutes","Reason references traffic and feedback but no single category is decisive","Check full post and whether all users means all paid users"
CAND_2026_07_12_HARD,Codex_GPT-5,1,accept,in_progress,hard_global,"extension_or_multiplier:temporary_5h_removal",milestone_celebration,all_paid,"Plus;Business;Pro","weekly;5h",,medium,"Primary long post plus contemporaneous coverage says reset and 6M milestone","oEmbed truncates before the reset statement","Archive full X post; verify exact reset wording and 6M reason"
CAND_2026_07_12_BANKED,Codex_GPT-5,1,accept,claimed_done,banked_credit,,incident_compensation,targeted,unknown,weekly,,high,"Explicit banked reset to 500k after redemption issue","Exact eligibility rule for 500k not visible in truncated text","Open full post; verify affected-user selection and whether all 500k were compensatory"
CAND_2026_07_13,Codex_GPT-5,1,accept,claimed_done,banked_credit,,milestone_celebration,global_all,unknown,weekly,,high,"Explicit banked reset to everyone for 7M milestone",,"Confirm 'everyone' scope against full thread/product eligibility"
CAND_2026_07_14,Codex_GPT-5,1,accept,in_progress,hard_global,"extension_or_multiplier:5h_remains_removed",milestone_celebration,global_all,unknown,unknown,,high,"Explicit resetting for all after 8M milestone","Plan eligibility not enumerated","Check whether 'all' excludes free users"
CAND_2026_07_16,Codex_GPT-5,1,accept,in_progress,hard_global,,milestone_celebration,global_all,unknown,weekly,,high,"Explicit reset after 9M milestone; 100% weekly expected",,"Verify final truncated sentence and actual scope"
CAND_2026_07_18,Codex_GPT-5,1,accept,claimed_done,hard_global,,mixed_or_unclear,all_paid,"all paid",unknown,,high,"Explicit reset for all paid users","Weekend/team gratitude is framing, not a discrete registered reason","Confirm no linked launch/milestone context preceding the post"
CAND_2026_07_21,Codex_GPT-5,1,accept,in_progress,hard_global,,milestone_celebration,all_paid,"all paid",unknown,,high,"10M followed by explicit reset; lands next hour",,"Verify 10M refers to the same combined user population"
CAND_2026_07_25,Codex_GPT-5,1,accept,claimed_done,hard_global,,incident_compensation,global_all,unknown,unknown,,high,"Explicit completed reset and almost-global outage reason","Announcement does not prove universal backend application","Keep application evidence separate; match outage to status incident"
CAND_2026_07_28,Codex_GPT-5,1,accept,claimed_done,hard_global,,launch_promotion,all_paid,"all paid",unknown,SRC_X_2081899343091843463,medium,"Completed reset plus earlier fast-adoption celebration signal","launch_promotion is imperfect; milestone_celebration or mixed may fit","Decide whether fast adoption is a launch promotion or mixed/celebration"
