replay_forecast_id,predictor_id,participant_id,issued_at_utc,horizon_hours,window_end_utc,probability,label,event_count,brier,log_loss,evidence_cutoff_utc,evidence_ids,rationale,replay_method,payload_sha256
REPLAY_20260527T170000Z_P_LLM_DEEPSEEK_V4_24H,P_LLM_DEEPSEEK_V4,deepseek-v4-pro,2026-05-27T17:00:00Z,24,2026-05-28T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313,历史公告频率约为每周1-2次，当前距上次公告仅4天，且无活跃产品事件或社区信号驱动，故24小时概率较低；但一周内出现新事件并触发补偿或庆祝公告的可能性仍存在，基准率支持中等偏上概率。 反向证据：目前所有已知事件均已解决，无待处理的公告触发条件。,current_context_builder_llm_replay_v1,564220d7c6ee8a9b436712d3b8330991b497fd38093b8afeffe8180320ea2d72
REPLAY_20260527T170000Z_P_LLM_DEEPSEEK_V4_168H,P_LLM_DEEPSEEK_V4,deepseek-v4-pro,2026-05-27T17:00:00Z,168,2026-06-03T17:00:00Z,0.55000000,1,1,0.20250000,0.59783700,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313,历史公告频率约为每周1-2次，当前距上次公告仅4天，且无活跃产品事件或社区信号驱动，故24小时概率较低；但一周内出现新事件并触发补偿或庆祝公告的可能性仍存在，基准率支持中等偏上概率。 反向证据：目前所有已知事件均已解决，无待处理的公告触发条件。,current_context_builder_llm_replay_v1,6872285033d936700ee158dea5a0c037a2b9045f23480234c836bbaa8b3de3a0
REPLAY_20260527T170000Z_P_LLM_KIMI_K25_24H,P_LLM_KIMI_K25,kimi-k2.5,2026-05-27T17:00:00Z,24,2026-05-28T17:00:00Z,0.08000000,0,0,0.00640000,0.08338161,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313;ANN_X_2055707616605835333,历史数据显示21次公告中hard_global类型占主导，但最近两次公告间隔仅7天（5/16至5/23），频率已高于历史平均间隔（约10-14天）。当前无未解决的incident或promised状态公告，且最近48小时内无高强度事件触发。24小时内缺乏即时催化剂，但168小时窗口覆盖潜在的新incident响应周期。 反向证据：最近7天内已发生一次hard_global reset，短期内重复概率受政策节奏约束,current_context_builder_llm_replay_v1,7daa07cb22a409c46bcd5f118ec58e4a39a9a7f89643b027acba51098175f572
REPLAY_20260527T170000Z_P_LLM_KIMI_K25_168H,P_LLM_KIMI_K25,kimi-k2.5,2026-05-27T17:00:00Z,168,2026-06-03T17:00:00Z,0.22000000,1,1,0.60840000,1.51412773,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313;ANN_X_2055707616605835333,历史数据显示21次公告中hard_global类型占主导，但最近两次公告间隔仅7天（5/16至5/23），频率已高于历史平均间隔（约10-14天）。当前无未解决的incident或promised状态公告，且最近48小时内无高强度事件触发。24小时内缺乏即时催化剂，但168小时窗口覆盖潜在的新incident响应周期。 反向证据：最近7天内已发生一次hard_global reset，短期内重复概率受政策节奏约束,current_context_builder_llm_replay_v1,e0cbbe3a2744e12cd77d742247c0e219429e4438d54cfbcf1f07b177338001cf
REPLAY_20260527T170000Z_P_LLM_QWEN35_397B_24H,P_LLM_QWEN35_397B,qwen3.5-397b-a17b,2026-05-27T17:00:00Z,24,2026-05-28T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313;ANN_X_2055707616605835333,最近一次全局重置公告发生于 5 月 23 日，距今约 4 天，处于历史常见间隔范围内。冻结证据显示 5 月 23 日后暂无新的已解决产品事故或里程碑上下文作为触发信号。基于历史基准率（活跃期约每周 1 次），一周内出现新触发事件累积概率显著高于 24 小时。 反向证据：证据列表中自 5 月 23 日 resolved 的上下文之后，缺乏新的 eligible context 支持短期内的公告触发。,current_context_builder_llm_replay_v1,df114c4a27b796099e604cec04d17bcee6894ecb41943f5ca0a8cd1235e0ae3a
REPLAY_20260527T170000Z_P_LLM_QWEN35_397B_168H,P_LLM_QWEN35_397B,qwen3.5-397b-a17b,2026-05-27T17:00:00Z,168,2026-06-03T17:00:00Z,0.45000000,1,1,0.30250000,0.79850770,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313;ANN_X_2055707616605835333,最近一次全局重置公告发生于 5 月 23 日，距今约 4 天，处于历史常见间隔范围内。冻结证据显示 5 月 23 日后暂无新的已解决产品事故或里程碑上下文作为触发信号。基于历史基准率（活跃期约每周 1 次），一周内出现新触发事件累积概率显著高于 24 小时。 反向证据：证据列表中自 5 月 23 日 resolved 的上下文之后，缺乏新的 eligible context 支持短期内的公告触发。,current_context_builder_llm_replay_v1,99fbd1d8f96555bf289f1784d5343206987cb158402eed88ae354a5cd4759dcd
REPLAY_20260527T170000Z_P_LLM_STEP35_24H,P_LLM_STEP35,step-3.5-flash,2026-05-27T17:00:00Z,24,2026-05-28T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;ANN_X_2055707616605835333;CTX_2058280452851638313,历史特殊reset公告平均约6天发布一次，最近一次公告发布于2026年5月23日，截至证据截止日已过去4天，24小时内无新的产品事故、社区反馈或发布计划等触发上下文，因此24小时发布概率较低；7天时间窗口覆盖历史公告的平均发布间隔，存在较大概率出现新的特殊reset公告；同时需注意正常账户额度周期刷新不属于本次预测的特殊reset公告范畴。 反向证据：当前无新的官方产品事故、里程碑达成或发布活动等可触发特殊reset公告的公开信号。,current_context_builder_llm_replay_v1,3ae803f605a166140137b10356de7bd9ec1b8166bd554c1ead6975e229aea847
REPLAY_20260527T170000Z_P_LLM_STEP35_168H,P_LLM_STEP35,step-3.5-flash,2026-05-27T17:00:00Z,168,2026-06-03T17:00:00Z,0.55000000,1,1,0.20250000,0.59783700,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;ANN_X_2055707616605835333;CTX_2058280452851638313,历史特殊reset公告平均约6天发布一次，最近一次公告发布于2026年5月23日，截至证据截止日已过去4天，24小时内无新的产品事故、社区反馈或发布计划等触发上下文，因此24小时发布概率较低；7天时间窗口覆盖历史公告的平均发布间隔，存在较大概率出现新的特殊reset公告；同时需注意正常账户额度周期刷新不属于本次预测的特殊reset公告范畴。 反向证据：当前无新的官方产品事故、里程碑达成或发布活动等可触发特殊reset公告的公开信号。,current_context_builder_llm_replay_v1,cbe8a682fe3b23492847c485bce30596322a40af9414dd5b04b4b31daae8c626
REPLAY_20260527T170000Z_P_LLM_MINIMAX_M27_24H,P_LLM_MINIMAX_M27,MiniMax-M2.7,2026-05-27T17:00:00Z,24,2026-05-28T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313;CTX_STATUS_01KRG6MF021JQ997JCR7R8Y9A0,历史数据显示每8-10天左右会有一次公告，频率相对规律但触发条件不固定。最近一次公告是2026-05-23，距证据截点约4天，处于正常间隔范围内。近期多个事件上下文显示产品事故持续发生（5月上中旬有多个strength_5的incident），历史上incident_compensation类公告占比较高，暗示未来一周内可能存在触发公告的事件基础。 反向证据：所有近期公告均为pre_banked_reset政策阶段，若当前政策已转向banked credit制度框架，特殊全局reset的公告模式可能已改变。,current_context_builder_llm_replay_v1,c8de9410afc7967ea92a4cd957af664b764eca16f0e6b5468bb02bcbe663c8a0
REPLAY_20260527T170000Z_P_LLM_MINIMAX_M27_168H,P_LLM_MINIMAX_M27,MiniMax-M2.7,2026-05-27T17:00:00Z,168,2026-06-03T17:00:00Z,0.55000000,1,1,0.20250000,0.59783700,2026-05-27T17:00:00Z,ANN_X_2058280452851638313;CTX_2058280452851638313;CTX_STATUS_01KRG6MF021JQ997JCR7R8Y9A0,历史数据显示每8-10天左右会有一次公告，频率相对规律但触发条件不固定。最近一次公告是2026-05-23，距证据截点约4天，处于正常间隔范围内。近期多个事件上下文显示产品事故持续发生（5月上中旬有多个strength_5的incident），历史上incident_compensation类公告占比较高，暗示未来一周内可能存在触发公告的事件基础。 反向证据：所有近期公告均为pre_banked_reset政策阶段，若当前政策已转向banked credit制度框架，特殊全局reset的公告模式可能已改变。,current_context_builder_llm_replay_v1,d454b826233ed23f6b9dcc6e2638f784b79ff0de41e18d76fa46f54524b97814
