context_event_id,linked_announcement_id,start_at_utc,first_public_at_utc,resolved_at_utc,event_type,event_origin,incident_stage,milestone_label,launch_label,novelty_0_3,disruption_0_3,criticality_0_3,event_strength_0_9,attention_state_0_5,official_incident,root_cause_known,mitigation_confirmed,affected_scope,prediction_eligible,prediction_ineligible_reason,confidence,annotation_method,source_ids,scoring_rationale
CTX_1968163721034994139,ANN_X_1968163721034994139,2025-09-17T04:02:52.465Z,2025-09-17T04:02:52.465Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_1968163721034994139,Degradation/latency disrupted use without clear global unavailability.
CTX_STATUS_01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,,2025-09-22T21:58:00Z,2025-09-22T21:58:00Z,2025-09-23T00:56:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01K6KAAN7WXN69E8JET8PYB0D5,,2025-10-02T19:32:00Z,2025-10-02T19:32:00Z,2025-10-03T17:28:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01K6KAAN7WXN69E8JET8PYB0D5,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01K96HVTZ8JZRGWPCADHQ9N061,,2025-11-04T04:26:00Z,2025-11-04T04:26:00Z,2025-11-04T05:14:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01K96HVTZ8JZRGWPCADHQ9N061,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01K9ARX310CM6V219R0GF7RNC9,,2025-11-05T19:46:00Z,2025-11-05T19:46:00Z,2025-11-05T21:55:00Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01K9ARX310CM6V219R0GF7RNC9,Official Codex status incident; strength conservatively scored from the incident title.
CTX_1986166501435711936,ANN_X_1986166501435711936,2025-11-05T20:19:29.788Z,2025-11-05T20:19:29.788Z,,product_incident,product_or_infrastructure,resolved,,,2,3,3,8,3,0,0,1,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_1986166501435711936,"Near/global outage: novel, highly disruptive, core reliability."
CTX_STATUS_01K9G5H5NM4Y19XW4JJM3SK323,,2025-11-07T22:03:00Z,2025-11-07T22:03:00Z,2025-11-08T02:04:00Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01K9G5H5NM4Y19XW4JJM3SK323,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KACCE2MY2Z917Q4J9ZKXZ9F1,,2025-11-18T21:02:00Z,2025-11-18T21:02:00Z,2025-11-18T22:19:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KACCE2MY2Z917Q4J9ZKXZ9F1,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KAPG4EE5JWEV04TPZ2SNNK8X,,2025-11-22T22:51:00Z,2025-11-22T22:51:00Z,2025-11-23T06:55:00Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KAPG4EE5JWEV04TPZ2SNNK8X,Official Codex status incident; strength conservatively scored from the incident title.
CTX_1992370994028388670,ANN_X_1992370994028388670,2025-11-22T23:13:56.096Z,2025-11-22T23:13:56.096Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_1992370994028388670,Degradation/latency disrupted use without clear global unavailability.
CTX_STATUS_01KAYA3GKDBP7FES5BB7ANZDV7,,2025-11-25T20:00:00Z,2025-11-25T20:00:00Z,2025-11-25T21:14:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KAYA3GKDBP7FES5BB7ANZDV7,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KAYQJW0EBMW9MYYBX2WK4TP9,,2025-11-26T00:04:00Z,2025-11-26T00:04:00Z,2025-11-26T03:06:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KAYQJW0EBMW9MYYBX2WK4TP9,Official Codex status incident; strength conservatively scored from the incident title.
CTX_1995988609896513743,ANN_X_1995988609896513743,2025-12-02T22:49:02.931Z,2025-12-02T22:49:02.931Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_1995988609896513743,Confirmed or claimed product shortfall with moderate disruption.
CTX_STATUS_01KBGV0B1KYJAGHRD705NWNZXE,,2025-12-03T00:50:00Z,2025-12-03T00:50:00Z,2025-12-03T01:46:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KBGV0B1KYJAGHRD705NWNZXE,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KBZQFTJVFKP90HA3QJ7Q3WBY,,2025-12-08T18:28:00Z,2025-12-08T18:28:00Z,2025-12-09T05:55:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KBZQFTJVFKP90HA3QJ7Q3WBY,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KC2CJTQMDW8ZX3S4S4Q8PPNQ,,2025-12-09T20:24:00Z,2025-12-09T20:24:00Z,2025-12-09T21:21:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KC2CJTQMDW8ZX3S4S4Q8PPNQ,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KC6WSFM4ECT1Y5XBPF2AMXV9,,2025-12-11T16:29:00Z,2025-12-11T16:29:00Z,2025-12-12T19:52:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KC6WSFM4ECT1Y5XBPF2AMXV9,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KCM7PAMQMCM8KAB6ZCWPKNK1,,2025-12-16T20:30:00Z,2025-12-16T20:30:00Z,2025-12-17T04:12:00Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KCM7PAMQMCM8KAB6ZCWPKNK1,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2001114683047317723,ANN_X_2001114683047317723,2025-12-17T02:18:14.008Z,2025-12-17T02:18:14.008Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2001114683047317723,Confirmed or claimed product shortfall with moderate disruption.
CTX_2002137269134819610,ANN_X_2002137269134819610,2025-12-19T22:01:37.530Z,2025-12-19T22:01:37.530Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2002137269134819610,No single explicit event mechanism; weak contextual event.
CTX_2004100061933064395,ANN_X_2004100061933064395,2025-12-25T08:01:03.800Z,2025-12-25T08:01:03.800Z,,milestone,organization_or_community,,,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2004100061933064395,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
