source_id,x_post_id,author_handle,canonical_url,published_at_utc,retrieval_method,retrieved_at_utc,normalized_excerpt_not_verbatim,is_text_truncated,supporting_source_ids
SRC_X_2075641131002700120,2075641131002700120,thsottiaux,https://x.com/thsottiaux/status/2075641131002700120,2026-07-10T17:59:43.835Z,X_oEmbed,2026-07-28T03:39:32Z,"Hello beautiful people! We have reset usage limits across Codex and ChatGPT Work. And another one will come later in the day. Rejoice.",1,
SRC_X_2075820987833274448,2075820987833274448,thsottiaux,https://x.com/thsottiaux/status/2075820987833274448,2026-07-11T05:54:25.045Z,X_oEmbed,2026-07-28T03:39:32Z,"Introducing... another usage limit reset for all our ChatGPT Work and Codex users. Should land over next 30 minutes. Hope you have an awesome weekend.",1,
SRC_X_2076365965915467978,2076365965915467978,thsottiaux,https://x.com/thsottiaux/status/2076365965915467978,2026-07-12T17:59:57.945Z,X_oEmbed,2026-07-28T03:39:32Z,"Morning. The last 48 hours of Codex and ChatGPT Work have been intense! Three important updates: temporarily removing the 5 hour usage limit restriction for all Plus, Business and Pro plans; rolling out GPT-5.6 Sol efficiency changes; a usage reset reported by independent contemporaneous coverage.",1,SRC_SECONDARY_5H
SRC_X_2076418567143408112,2076418567143408112,thsottiaux,https://x.com/thsottiaux/status/2076418567143408112,2026-07-12T21:28:59.055Z,X_oEmbed,2026-07-28T03:39:32Z,"Added a banked reset to 500k users of ChatGPT Work and Codex. Released banked-reset redemption on web/mobile; an issue affected fewer than 10% of redeemers.",1,SRC_SECONDARY_5H
SRC_X_2076735790567338203,2076735790567338203,thsottiaux,https://x.com/thsottiaux/status/2076735790567338203,2026-07-13T18:29:31.013Z,X_oEmbed,2026-07-28T03:39:32Z,"Thank you to the 7M active users. We have added a banked reset to everyone's account to celebrate the milestone. It replenishes weekly usage.",0,
SRC_X_2077114635308986427,2077114635308986427,thsottiaux,https://x.com/thsottiaux/status/2077114635308986427,2026-07-14T19:34:54.638Z,X_oEmbed,2026-07-28T03:39:32Z,"We have reached 8M active users across Codex and ChatGPT Work. We are once again resetting the usage limits for all.",1,
SRC_X_2077607697487188198,2077607697487188198,thsottiaux,https://x.com/thsottiaux/status/2077607697487188198,2026-07-16T04:14:09.822Z,X_oEmbed,2026-07-28T03:39:32Z,"Another reset for our Codex and ChatGPT Work users. Actually hit 9M active users earlier. Weekly usage should return to 100% in a few minutes.",1,
SRC_X_2078320950488297917,2078320950488297917,thsottiaux,https://x.com/thsottiaux/status/2078320950488297917,2026-07-18T03:28:22.589Z,X_oEmbed,2026-07-28T03:39:32Z,"Oops... I did it again. Enjoy reset usage limits for all paid users for Codex and ChatGPT Work. Enjoy the weekend!",0,
SRC_X_2079609157934886975,2079609157934886975,thsottiaux,https://x.com/thsottiaux/status/2079609157934886975,2026-07-21T16:47:15.178Z,X_oEmbed,2026-07-28T03:39:32Z,"10M! New day, new usage reset for paid users of Codex and ChatGPT Work. Lands in the next hour. Enjoy.",0,
SRC_X_2081096447718723984,2081096447718723984,thsottiaux,https://x.com/thsottiaux/status/2081096447718723984,2026-07-25T19:17:12.695Z,X_oEmbed,2026-07-28T03:39:32Z,"We have reset usage limits for all Codex and ChatGPT Work users. Last night we suffered an almost global outage. All recovered. We learn. We reset.",0,
SRC_X_2081899343091843463,2081899343091843463,thsottiaux,https://x.com/thsottiaux/status/2081899343091843463,2026-07-28T00:27:37.869Z,X_oEmbed,2026-07-28T03:39:32Z,"We're celebrating the fast adoption of ChatGPT Work and all the effort that went into it today. I'm feeling like a limit reset. See you in a few hours.",0,
SRC_X_2081940052154933696,2081940052154933696,thsottiaux,https://x.com/thsottiaux/status/2081940052154933696,2026-07-28T03:09:23.666Z,X_oEmbed,2026-07-28T03:39:32Z,"Back at the laptop. The usage limits have been reset for all paid users of Codex and ChatGPT Work. It's a good day!",0,SRC_X_2081899343091843463
